,username,repositories,followers,stars,forks,contributions
390,jfnixon,22,4,2,0,0
391,johnjoseph3,15,17,6,3,0
392,spxis,38,14,1,0,0
393,johnsietsma,40,33,56,17,0
394,guitarmanvt,21,4,0,1,0
395,johnathanludwig,16,4,2,0,0
396,vicb,143,497,347,95,0
397,jeagle,20,14,13,11,0
398,lusis,176,286,1114,878,0
399,johnroyer,39,40,17,3,0
400,johnchapin,29,31,10,2,0
401,thorrak,15,14,34,17,0
402,jplarson,7,6,24,5,0
403,jmercha,13,5,5,4,0
404,JohnEstropia,34,98,2167,172,0
405,WALLTECH,4,8,9,1,0
406,urbildpunkt,9,5,2,0,0
407,lookyhooky,13,5,0,1,0
408,inthecloud247,401,28,7,1,0
409,johnynek,52,357,242,69,0
410,jkeefe,84,125,66,28,0
411,JRHeaton,23,116,97,20,0
412,topjohnwu,28,417,1600,600,0
413,zinic,60,31,77,23,0
414,johnnagro,17,39,21,6,0
415,yh200212121212,112,52,25,14,0
416,johnpeele,6,7,2,0,0
417,johndshea,34,3,2,5,0
418,jchapin,3,9,0,0,0
419,johngoren,15,4,1,1,0
420,johntitus,21,42,1726,211,0
421,johncscott,8,6,0,1,0
422,johnjohndoe,286,136,555,218,0
423,maxinbjohn,37,31,26,15,0
424,jprobinson,43,139,169,27,0
425,mstczuo,14,18,5,2,0
426,johnbreslin,2,12,0,0,0
427,Warblefly,8,7,24,3,0
428,thatjohnmartin,14,4,0,0,0
429,johngraham262,15,17,131,34,0
430,jgm,66,1209,14163,2029,0
431,johnantoni,477,68,241,108,0
432,tronixstuff,2,13,0,1,0
433,jgoerzen,84,158,735,233,0
434,JohnTsaiAndroid,290,125,746,161,0
435,johntyree,102,47,39,10,0
436,slota,77,19,1,2,0
437,jeckman,22,99,598,367,0
438,StoneCypher,337,83,447,49,0
439,johnbintz,215,63,824,335,0
440,jbfm,8,6,3,2,0
441,sixtysecondrevit,17,15,21,5,0
442,jwpaine,18,18,4,0,0
443,johndahlstrom,4,7,2,0,0
444,johnark88,75,16,0,5,0
445,altenmueller,10,5,4,1,0
446,johnbellone,282,54,254,341,0
447,johndyer,12,422,105,33,0
448,jfurcean,4,5,6,1,0
449,johnttan,51,19,10,5,0
450,JohnBrunswick,10,25,24,16,0
451,jstjohn,40,78,260,179,0
452,johnwheal,3,10,0,0,0
453,Rumyra,69,154,202,48,0
454,myisjon,25,12,0,1,0
455,jdwittenauer,16,263,1729,908,0
456,johndemic,28,25,12,7,0
457,jcinnamond,52,58,79,11,0
458,John123Yu,63,18,8,4,0
459,johnpbloch,79,195,658,121,0
460,JohnAlbin,59,217,565,156,0
461,Jawnnypoo,51,180,597,82,0
462,johnramsden,32,10,8,1,0
463,ClumsySmurf,23,2,1,0,0
464,John-Lin,132,167,273,119,0
465,talos,113,140,370,97,0
466,JohnrBell,22,85,19,12,0
467,wiseman,132,134,766,249,0
468,beatty,24,30,98,15,0
469,regehr,32,207,298,99,0
470,johnvanweel,6,6,1,1,0
471,maloner,6,6,2,0,0
472,jocap,54,20,19,3,0
473,johnboxall,56,182,888,431,0
474,x3graphics,13,4,1,0,0
475,johncox00,23,3,0,0,0
476,johnh2o2,16,12,10,1,0
477,JohnCoates,12,342,12556,681,0
478,JohnWong,87,159,270,83,0
479,JaxomofRuatha,43,9,1,2,0
480,jjn1056,171,92,197,127,0
481,johncarl81,56,123,3470,313,0
482,mclevey,66,21,7,0,0
483,jplong91,12,16,0,0,0
484,JohnNay,10,17,27,10,0
485,achillean,12,262,663,192,0
486,JohnHoder,48,17,12,15,0
487,lucidbard,50,2,0,1,0
488,johnkpaul,105,132,302,87,0
489,johnmcdonnell,33,46,27,10,0
490,johnballantyne,26,10,19,11,0
491,jbranigan,20,3,2,2,0
492,invaderjohn,9,15,2,16,0
493,lyt23,84,5,2,1,0
494,JohnMunsch,13,38,409,65,0
495,johnduhart,74,64,32,12,0
496,jjanes,4,7,1,0,0
497,jmsdvl,21,3,2,0,0
498,joho,55,180,3789,356,0
499,jfsiii,125,91,217,19,0
500,kimozex,28,9,3,0,0
501,jrfastab,25,22,35,13,0
502,ebashmakov,7,5,21,4,0
503,Vanuan,192,72,50,64,0
504,jpellman,29,22,9,5,0
505,anpete,21,131,14,11,0
506,johnraz,62,20,5,0,0
507,jsma,37,18,1,0,0
508,johnmcaliley,22,33,5,1,0
509,dearjohn,65,7,2,0,0
510,djwillis,15,33,116,63,0
511,johnferrie,7,5,1,0,0
512,jzagnoli,5,6,0,0,0
513,jac18281828,5,6,0,0,0
514,johnheroy,84,108,50,25,0
515,thejohnhoffer,34,2,16,6,0
516,ambition-consulting,16,3,0,0,0
517,lightsey,36,2,9,2,0
518,j-walker23,16,3,1,1,0
519,j-mccarthy,9,4,0,0,0
520,johnezang,12,340,6230,1794,0
521,chaoren399,44,7,0,0,0
522,JohnnyDevMode,11,4,0,2,0
523,JohnGorter,57,14,1,6,0
524,johnjosephhorton,69,53,101,60,0
525,AutoSecTools,7,5,7,3,0
526,johnnyboyy,31,18,0,1,0
527,noisycr1cket,26,7,17,34,0
528,johnament,75,36,33,25,0
529,johnitvn,17,29,172,170,0
530,savagej,15,3,3,0,0
531,johng,27,9,0,0,0
532,johnsoft,21,3,15,4,0
533,johnpmorris,8,16,16,2,0
534,johnboyer,15,3,3,2,0
535,jrmusa9,16,10,0,0,0
536,john-goldsmith,43,7,4,1,0
537,jdblischak,139,50,138,110,0
538,ehrlinger,25,24,86,22,0
539,diyjac,24,175,251,171,0
540,johnmichaloski,8,21,19,12,0
541,Johnqing,168,94,238,100,0
542,Jumboperson,6,19,133,65,0
543,rumblesan,100,90,85,13,0
544,johnb30,41,90,107,61,0
